LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
OECD;QGDP;TOT;PC_CHGPP;A;1962;5.696916024;
OECD;QGDP;TOT;PC_CHGPP;A;1963;5.175454508;
OECD;QGDP;TOT;PC_CHGPP;A;1964;6.361377148;
OECD;QGDP;TOT;PC_CHGPP;A;1965;5.364164429;
OECD;QGDP;TOT;PC_CHGPP;A;1966;5.733038186;
OECD;QGDP;TOT;PC_CHGPP;A;1967;3.942569182;
OECD;QGDP;TOT;PC_CHGPP;A;1968;5.904554389;
OECD;QGDP;TOT;PC_CHGPP;A;1969;5.561258815;
OECD;QGDP;TOT;PC_CHGPP;A;1970;3.917580187;
OECD;QGDP;TOT;PC_CHGPP;A;1971;3.696635183;
OECD;QGDP;TOT;PC_CHGPP;A;1972;5.468583573;
OECD;QGDP;TOT;PC_CHGPP;A;1973;6.106964966;
OECD;QGDP;TOT;PC_CHGPP;A;1974;1.06303142;
OECD;QGDP;TOT;PC_CHGPP;A;1975;0.456326551;
OECD;QGDP;TOT;PC_CHGPP;A;1976;4.9117479;
OECD;QGDP;TOT;PC_CHGPP;A;1977;3.67945031;
OECD;QGDP;TOT;PC_CHGPP;A;1978;4.425892082;
OECD;QGDP;TOT;PC_CHGPP;A;1979;3.898008009;
OECD;QGDP;TOT;PC_CHGPP;A;1980;1.279125699;
OECD;QGDP;TOT;PC_CHGPP;A;1981;2.261218323;
OECD;QGDP;TOT;PC_CHGPP;A;1982;0.198218055;
OECD;QGDP;TOT;PC_CHGPP;A;1983;2.832231921;
OECD;QGDP;TOT;PC_CHGPP;A;1984;4.782641589;
OECD;QGDP;TOT;PC_CHGPP;A;1985;3.853516107;
OECD;QGDP;TOT;PC_CHGPP;A;1986;2.896710694;
OECD;QGDP;TOT;PC_CHGPP;A;1987;3.607928656;
OECD;QGDP;TOT;PC_CHGPP;A;1988;4.597936205;
OECD;QGDP;TOT;PC_CHGPP;A;1989;3.866419881;
OECD;QGDP;TOT;PC_CHGPP;A;1990;3.215958443;
OECD;QGDP;TOT;PC_CHGPP;A;1991;1.462244102;
OECD;QGDP;TOT;PC_CHGPP;A;1992;2.267525648;
OECD;QGDP;TOT;PC_CHGPP;A;1993;1.502183003;
OECD;QGDP;TOT;PC_CHGPP;A;1994;3.038163921;
OECD;QGDP;TOT;PC_CHGPP;A;1995;2.554383091;
OECD;QGDP;TOT;PC_CHGPP;A;1996;3.190970426;
OECD;QGDP;TOT;PC_CHGPP;A;1997;3.627221824;
OECD;QGDP;TOT;PC_CHGPP;A;1998;2.929779194;
OECD;QGDP;TOT;PC_CHGPP;A;1999;3.301133734;
OECD;QGDP;TOT;PC_CHGPP;A;2000;4.123815397;
OECD;QGDP;TOT;PC_CHGPP;A;2001;1.407003807;
OECD;QGDP;TOT;PC_CHGPP;A;2002;1.679503544;
OECD;QGDP;TOT;PC_CHGPP;A;2003;2.112154233;
OECD;QGDP;TOT;PC_CHGPP;A;2004;3.343878882;
OECD;QGDP;TOT;PC_CHGPP;A;2005;2.909444012;
OECD;QGDP;TOT;PC_CHGPP;A;2006;3.202614872;
OECD;QGDP;TOT;PC_CHGPP;A;2007;2.692158803;
OECD;QGDP;TOT;PC_CHGPP;A;2008;0.358233887;
OECD;QGDP;TOT;PC_CHGPP;A;2009;-3.358880769;
OECD;QGDP;TOT;PC_CHGPP;A;2010;3.051010695;
OECD;QGDP;TOT;PC_CHGPP;A;2011;2.093830482;
OECD;QGDP;TOT;PC_CHGPP;A;2012;1.38360755;
OECD;QGDP;TOT;PC_CHGPP;A;2013;1.607093446;
OECD;QGDP;TOT;PC_CHGPP;A;2014;2.194042676;
OECD;QGDP;TOT;PC_CHGPP;A;2015;2.614216589;
OECD;QGDP;TOT;PC_CHGPP;A;2016;1.862194582;
OECD;QGDP;TOT;PC_CHGPP;A;2017;2.678966776;
OECD;QGDP;TOT;PC_CHGPP;A;2018;2.326956668;
OECD;QGDP;TOT;PC_CHGPP;A;2019;1.629709143;
EST;QGDP;TOT;PC_CHGPP;A;1996;4.935972;
EST;QGDP;TOT;PC_CHGPP;A;1997;13.046535;
EST;QGDP;TOT;PC_CHGPP;A;1998;4.330296;
EST;QGDP;TOT;PC_CHGPP;A;1999;-0.403436;
EST;QGDP;TOT;PC_CHGPP;A;2000;10.10652;
EST;QGDP;TOT;PC_CHGPP;A;2001;5.979603;
EST;QGDP;TOT;PC_CHGPP;A;2002;6.802391;
EST;QGDP;TOT;PC_CHGPP;A;2003;7.566692;
EST;QGDP;TOT;PC_CHGPP;A;2004;6.767457;
EST;QGDP;TOT;PC_CHGPP;A;2005;9.490296;
EST;QGDP;TOT;PC_CHGPP;A;2006;9.718759;
EST;QGDP;TOT;PC_CHGPP;A;2007;7.573581;
EST;QGDP;TOT;PC_CHGPP;A;2008;-5.088942;
EST;QGDP;TOT;PC_CHGPP;A;2009;-14.433869;
EST;QGDP;TOT;PC_CHGPP;A;2010;2.690333;
EST;QGDP;TOT;PC_CHGPP;A;2011;7.443935;
EST;QGDP;TOT;PC_CHGPP;A;2012;3.124843;
EST;QGDP;TOT;PC_CHGPP;A;2013;1.346188;
EST;QGDP;TOT;PC_CHGPP;A;2014;2.987326;
EST;QGDP;TOT;PC_CHGPP;A;2015;1.844885;
